Model,Accuracy,Precision,Recall,F1-Score,ROC-AUC,PR-AUC
Logistic Regression,0.9735086548927355,0.05601006922592826,0.9081632653061225,0.1055127445168939,0.9732230786236836,0.7241586296684376
Random Forest,0.9995435553526912,0.9285714285714286,0.7959183673469388,0.8571428571428571,0.9557918535309453,0.866895111483501
XGBoost,0.9995259997893332,0.9176470588235294,0.7959183673469388,0.8524590163934426,0.9779398464506793,0.8573608003452208
Random Forest + SMOTE,0.9994557775359011,0.8526315789473684,0.826530612244898,0.8393782383419689,0.9669319313966442,0.8691444056225675
XGBoost + SMOTE,0.9992977774656788,0.7543859649122807,0.8775510204081632,0.8113207547169812,0.9833975514797928,0.8810619827681848
